Home,Team_Rate,Opp_Rate,Pts_per_Ply,TO_Margin,Net_YPP,Net_Pts,Pass_YPA,Rush_YPA,ToP_Diff,Outcome,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
0,107.5,81.4,0.4838709677419355,0,2.8899999999999997,23,4.1666652777782405,2.531249208984622,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,92.9,115.4,0.46551724137931033,0,0.009999999999999787,-3,0.6571426693878087,-3.4782593572785405,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,60.4,91.6,0.12244897959183673,0,0.04999999999999982,-18,-2.8928561096942467,-1.9523800226761796,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,118.4,75.3,0.48484848484848486,0,0.7800000000000002,5,0.6799997280001088,2.243901891731246,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,101.0,114.9,0.3698630136986301,0,-1.5,-3,-0.16666663194445167,-1.8399992640002945,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,76.7,106.4,0.2127659574468085,0,0.28000000000000025,-28,1.4137926159335807,-6.944440586421897,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,78.7,111.6,0.5,0,-0.7800000000000002,-5,-0.5151513590450426,-4.380950294785574,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,128.9,68.2,0.5151515151515151,0,1.3800000000000008,19,3.124999218750195,-0.8076919970415396,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,112.7,76.0,0.2835820895522388,0,-0.040000000000000036,-5,0.9999996551725328,0.9210523891967396,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,76.0,109.6,0.43636363636363634,0,0.040000000000000036,5,-1.0740736762690088,-1.249999553571588,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,77.7,73.8,0.5666666666666667,0,1.6099999999999994,24,-2.1764699480970737,2.961537322485645,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,76.3,76.8,0.12658227848101267,0,-1.6099999999999994,-24,1.3214283354592258,-3.347824631380595,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,93.4,125.8,0.3064516129032258,0,-0.22999999999999954,-15,-0.06976742563548241,-1.1578941274241434,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,145.0,66.1,0.6333333333333333,0,2.63,32,3.606059513315299,2.037036282579155,0.0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,82.4,83.3,0.3389830508474576,0,0.040000000000000036,3,1.5312495214845243,-1.3703698628259768,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,107.0,80.2,0.34328358208955223,0,-0.5999999999999996,10,-0.7812497558594512,1.3999996000001143,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,84.7,105.7,0.23636363636363636,0,0.5999999999999996,-10,0.8064513527576281,-2.0416658159725767,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,158.3,55.1,0.6842105263157895,0,4.87,46,9.69696675849492,3.604650324499924,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,142.7,97.9,0.5490196078431373,0,2.5700000000000003,6,1.4074068861455977,-0.7499996875001302,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,100.6,142.7,0.3055555555555556,0,-2.5700000000000003,-6,-0.9743587245234039,0.5454543801653393,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,56.4,158.3,0.1276595744680851,0,-4.87,-46,-11.034478953627946,-8.611106327163151,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,114.7,102.2,0.5192307692307693,0,-0.08999999999999986,-1,-2.7241369916768994,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,67.5,65.8,0.24324324324324326,0,-2.0,2,-0.6666664814815328,-0.05263156509695655,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,68.9,143.5,0.10714285714285714,0,-2.63,-32,-3.83870843912631,-2.199999120000352,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,94.3,97.2,0.5396825396825397,0,1.1100000000000003,7,-1.7222217438272933,1.6666660493829446,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,104.5,111.1,0.2,0,-1.83,-21,2.510637763694093,-6.4347798109653,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,90.0,83.5,0.40384615384615385,0,-0.16999999999999993,-9,-2.454544710744027,-1.3684203324103514,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,95.0,113.0,0.27941176470588236,0,-2.76,-1,-1.548386597294646,1.9729724397371782,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,106.5,111.6,0.417910447761194,0,0.08999999999999986,1,2.6333324555558484,0.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,127.8,92.0,0.53125,0,0.22999999999999954,15,0.0833333101851916,0.7857140051021411,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,85.3,79.0,0.2982456140350877,0,-0.040000000000000036,-3,-1.7499993750002232,1.2758616290132314,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,113.0,92.4,0.46511627906976744,0,2.76,1,2.823527750866029,-2.807691227811066,0.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,83.5,88.1,0.4225352112676056,0,0.16999999999999993,9,2.0249994937501263,0.8387094068679333,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,112.1,102.9,0.603448275862069,0,1.83,21,-4.0689641141503055,5.103446516052926,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,66.1,64.7,0.2962962962962963,0,2.0,-2,0.7272725068871191,0.09523804988664292,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,98.4,92.4,0.34615384615384615,0,-1.1100000000000003,-7,1.2399997520000494,-1.6071422831634703,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,81.6,86.3,0.2857142857142857,0,-2.01,-8,-1.0937496582032318,-4.354837304891192,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,88.5,79.0,0.37142857142857144,0,2.01,8,1.249999553571588,3.214284948979774,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,77.5,84.1,0.22058823529411764,0,0.3199999999999994,-8,1.8695648109641714,0.13636357438019348,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,89.4,74.3,0.4339622641509434,0,-0.3199999999999994,8,-3.071427474490188,-0.1199999520000192,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,126.9,73.0,0.38461538461538464,0,0.6099999999999994,3,-0.7199997120001153,-3.1481469821677845,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,48.2,33.7,0.14634146341463414,0,1.5700000000000003,5,3.842104252077828,2.5681812345042645,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,82.0,117.6,0.3448275862068966,0,-3.0599999999999996,-3,-8.034479988110348,1.2068961355530567,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,79.4,59.0,0.3114754098360656,0,2.9699999999999998,16,4.5999981600007365,1.972221674382868,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,123.1,124.1,0.47368421052631576,0,-0.25,10,0.3888886728396262,0.33333324786326973,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,59.7,59.2,0.41935483870967744,0,1.7399999999999998,3,1.5999994666668444,1.5312495214845243,0.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,50.5,85.1,0.2328767123287671,0,-0.6000000000000005,-3,1.5405401241783447,-0.5833331712963412,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
