Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Opp_Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Rush,Pass,Tot,TO
172,KAN,2024-10-20,2024,28,18,44.4,1,4.84,5.54,35:04,36.3,Sun,6,7,@,SFO,W 28-18,28,18,10,46,16,27,11,59.3,145,0,2,0.0,7.4,44.4,2,9,6.90,5.4,5.00,2.04,1.90,9.1,329,68,4.84,56,5.54,2,35:04,3:02,17,31,54.8,209,0,1,3,3,36.3,83,-64,19,1
173,CIN,2024-10-20,2024,21,14,108.9,2,4.21,4.36,25:31,62.9,Sun,7,7,@,CLE,W 21-14,21,14,7,35,15,25,10,60.0,164,2,0,8.0,0.0,108.9,3,17,10.71,6.6,5.86,8.16,7.29,10.9,223,53,4.21,77,4.36,0,25:31,3:19,31,52,59.6,259,1,4,18,2,62.9,-18,-95,-113,2
174,NWE,2024-10-20,2024,16,32,109.7,0,5.46,6.17,26:45,121.5,Sun,7,7,@,JAX,L 16-32,16,32,-16,48,26,37,11,70.3,257,2,0,5.4,0.0,109.7,2,19,5.13,6.9,6.59,8.03,7.62,9.9,295,54,5.46,59,6.17,0,26:45,2:48,15,20,75.0,193,1,0,0,0,121.5,-133,64,-69,0
175,CAR,2024-10-20,2024,7,40,43.3,-2,4.19,6.68,24:55,127.8,Sun,7,7,@,WAS,L 7-40,7,40,-33,47,13,18,5,72.2,85,0,2,0.0,11.1,43.3,2,4,10.00,4.7,4.25,-0.28,-0.25,6.5,180,43,4.19,63,6.68,2,24:55,2:39,20,25,80.0,207,2,1,4,0,127.8,-119,-122,-241,-2
176,MIA,2024-10-20,2024,10,16,88.8,-1,4.96,4.66,31:11,59.2,Sun,6,7,@,IND,L 10-16,10,16,-6,26,15,26,11,57.7,149,1,0,3.8,0.0,88.8,2,12,7.14,5.7,5.32,6.50,6.04,9.9,337,68,4.96,61,4.66,2,31:11,2:59,10,24,41.7,129,0,0,0,0,59.2,33,20,53,-1
177,NYJ,2024-10-20,2024,15,37,70.0,-2,5.87,6.20,27:51,108.4,Sun,7,7,@,PIT,L 15-37,15,37,-22,52,24,39,15,61.5,269,1,2,2.6,5.1,70.0,1,7,2.50,6.9,6.73,5.10,4.98,11.2,323,55,5.87,66,6.20,2,27:51,3:13,16,29,55.2,260,2,1,4,0,108.4,-95,9,-86,-2
178,TEN,2024-10-20,2024,10,34,74.5,-2,4.31,7.20,32:46,115.1,Sun,6,7,@,BUF,L 10-34,10,34,-24,44,25,40,15,62.5,200,1,1,2.5,2.5,74.5,3,15,6.98,5.0,4.65,4.38,4.07,8.0,289,67,4.31,54,7.20,2,32:46,3:08,21,33,63.6,315,2,1,8,0,115.1,15,-115,-100,-2
179,WAS,2024-10-20,2024,40,7,128.5,2,6.68,4.19,35:05,42.4,Sun,7,7,,CAR,W 40-7,40,7,33,47,20,25,5,80.0,207,2,0,8.0,0.0,128.5,1,4,3.85,8.3,7.96,9.88,9.50,10.4,421,63,6.68,43,4.19,0,35:05,2:39,13,18,72.2,85,0,2,4,2,42.4,119,122,241,2
180,PHI,2024-10-20,2024,28,3,111.5,0,5.22,2.16,35:20,63.4,Sun,6,7,@,NYG,W 28-3,28,3,25,31,10,15,5,66.7,70,1,0,6.7,0.0,111.5,5,44,25.00,4.7,3.50,6.00,4.50,7.0,339,65,5.22,55,2.16,0,35:20,2:58,17,29,58.6,43,0,8,62,0,63.4,193,27,220,0
181,DEN,2024-10-17,2024,33,10,79.6,1,6.38,4.11,33:16,89.0,Thu,7,7,@,NOR,W 33-10,33,10,23,43,16,26,10,61.5,164,0,0,0.0,0.0,79.6,0,0,0.00,6.3,6.31,6.31,6.31,10.3,389,61,6.38,66,4.11,1,33:16,3:04,28,39,71.8,174,1,6,36,0,89.0,128,-10,118,1
182,NOR,2024-10-17,2024,10,33,92.9,-1,4.11,6.38,26:44,79.6,Thu,7,7,,DEN,L 10-33,10,33,-23,43,28,39,11,71.8,174,1,0,2.6,0.0,92.9,6,36,13.33,4.5,3.87,4.97,4.31,6.2,271,66,4.11,61,6.38,2,26:44,3:04,16,26,61.5,164,0,0,0,0,79.6,-128,10,-118,-1
183,BUF,2024-10-14,2024,23,20,127.9,1,5.98,6.66,29:34,96.4,Mon,6,6,@,NYJ,W 23-20,23,20,3,43,19,25,6,76.0,210,2,0,8.0,0.0,127.9,2,5,7.41,8.4,7.78,10.00,9.26,11.1,359,60,5.98,59,6.66,0,29:34,3:14,23,35,65.7,272,2,3,22,1,96.4,28,-62,-34,1
184,NYJ,2024-10-14,2024,20,23,99.0,-1,6.66,5.98,30:26,127.1,Mon,6,6,,BUF,L 20-23,20,23,-3,43,23,35,12,65.7,272,2,1,5.7,2.9,99.0,3,22,7.89,7.8,7.16,7.63,7.03,11.8,393,59,6.66,60,5.98,1,30:26,3:14,19,25,76.0,210,2,2,5,0,127.1,-28,62,34,-1
185,NWE,2024-10-13,2024,21,41,88.3,-3,4.62,5.94,29:13,95.3,Sun,6,6,,HOU,L 21-41,21,41,-20,62,20,33,13,60.6,209,3,2,9.1,6.1,88.3,4,34,10.81,6.3,5.65,5.42,4.84,10.5,291,63,4.62,62,5.94,4,29:13,3:06,20,32,62.5,176,3,2,16,1,95.3,-110,33,-77,-3
186,JAX,2024-10-13,2024,16,35,92.4,-1,4.63,6.11,29:20,123.6,Sun,6,6,@,CHI,L 16-35,16,35,-19,51,24,36,12,66.7,210,2,1,5.6,2.8,92.4,4,30,10.00,5.8,5.25,5.69,5.13,8.8,278,60,4.63,61,6.11,2,29:20,2:56,23,29,79.3,221,4,3,5,1,123.6,-84,-11,-95,-1
187,IND,2024-10-13,2024,20,17,77.6,0,4.08,4.38,29:28,63.0,Sun,6,6,@,TEN,W 20-17,20,17,3,37,22,38,16,57.9,189,2,1,5.3,2.6,77.6,0,0,0.00,5.0,4.97,4.84,4.84,8.6,269,66,4.08,55,4.38,1,29:28,3:03,16,27,59.3,95,1,0,0,1,63.0,-66,94,28,0
188,LAC,2024-10-13,2024,23,16,92.4,2,4.67,5.96,37:23,83.6,Sun,5,6,@,DEN,W 23-16,23,16,7,39,21,34,13,61.8,222,1,0,2.9,0.0,92.4,3,15,8.11,6.5,6.00,7.12,6.54,10.6,350,75,4.67,53,5.96,0,37:23,3:02,19,33,57.6,206,2,2,10,1,83.6,18,16,34,2
189,CLE,2024-10-13,2024,16,20,90.5,0,4.60,6.00,31:27,124.7,Sun,6,6,@,PHI,L 16-20,16,20,-4,36,16,23,7,69.6,144,0,0,0.0,0.0,90.5,5,24,17.86,6.3,5.14,6.26,5.14,9.0,244,53,4.60,62,6.00,0,31:27,2:51,16,25,64.0,256,2,1,8,0,124.7,-16,-112,-128,0
